layout_id,cliente_id,nome_layout,tipo_arquivo,tipo_cliente_destino,ativo,aceita_multiplos_pedidos,aceita_multiplos_clientes,sheet_nome,header_linha,inicio_dados_linha,regra_data_entrega,coluna_data_entrega,observacoes
23,23,COELHO DINIZ Excel Pedido + Datas,EXCEL,MATRICULA,1,1,1,,1,1,COLUNA,,Excel Coelho Diniz em lote; exige Excel do pedido e Excel de matriculas/datas; data por matricula; SKU=Cod.Fab; quantidade direta
13,13,BOZZA PDF,PDF,CNPJ,1,1,1,,1,1,D+1,,PDF Bozza/Boza LinkERP; SKU direto; quantidade=Qtde Emb; sem conversao unidade-caixa; assinatura dedicada por LinkERP + Supermercado Boza + CNPJ/CPF + Numero Pedido.
14,14,MONACO PDF,PDF,CNPJ,1,1,1,,1,1,D+1,,PDF Monaco; SKU=Cod Forn; quantidade=Qtde Emb; sem conversao unidade-caixa
15,15,DAHER PDF,PDF,CNPJ,1,1,1,,1,1,D+1,,PDF Daher; SKU=Ref; quantidade=Qtd; sem conversao unidade-caixa
16,16,PRIMATO PDF,PDF,CNPJ,1,1,1,,1,1,D+1,,PDF Primato; SKU direto; quantidade=Qtd; sem conversao unidade-caixa
17,17,SUPERLAR PDF,PDF,CNPJ,1,1,1,,1,1,D+1,,PDF Superlar; SKU direto; quantidade=Qtd; sem conversao unidade-caixa
18,18,INDIANA PDF,PDF,CNPJ,1,1,1,,1,1,D+1,,PDF Indiana; SKU direto; quantidade direta; sem conversao unidade-caixa
19,19,KACULA PDF,PDF,CNPJ,1,1,1,,1,1,D+1,,PDF Kacula; SKU direto; quantidade direta; sem conversao unidade-caixa
20,20,REDE VIP Excel Matricial,EXCEL,MATRICULA,1,1,1,,1,1,D+1,,Excel Rede VIP em matriz SKU x matriculas; sem conversao unidade-caixa; PEDIDO_OPCIONAL: arquivo VIP/Coca pode não trazer número de pedido por linha; Robô usa ponto técnico compatível.
21,21,MANO DOCES Excel Matricial,EXCEL,MATRICULA,1,1,1,,1,1,D+1,,Excel Mano Doces em matriz SKU x matriculas; sem conversao unidade-caixa
22,22,BUFFON Excel Matricial,EXCEL,MATRICULA,1,1,1,,1,1,D+1,,Excel Buffon em matriz matricula x SKUs; sem conversao unidade-caixa
