layout_id_referencia,nome_layout_referencia,tipo_arquivo,ativo_rastreabilidade,limiar_auto,limiar_sugestao,palavras_chave_fortes,palavras_chave_apoio,observacoes_rastreabilidade
1,DAISO Excel Padrao,EXCEL,1,75,55,DAISO,MATRICULA|SKU|QTD|QUANTIDADE|PEDIDO|ENTREGA|DATA|EXCEL,Rastreabilidade para Excel padrao semelhante ao DAISO.
2,TISCHLER PDF,PDF,1,75,55,TISCHLER,CNPJ|PEDIDO|CODIGO DE BARRAS|BARCODE|SKU|QUANTIDADE|ENTREGA|PDF,Rastreabilidade para PDF semelhante ao Tischler.
3,ALABARCE PDF,PDF,1,75,55,ALABARCE,CNPJ|PEDIDO|REF|REFERENCIA|QTDE|QTD|PRODUTO|LOJA|PDF,Rastreabilidade para PDF tabular multi-lojas semelhante ao Alabarce.
4,BAKLIZI PDF,PDF,1,75,55,BAKLIZI,TOTVS|PEDIDO DE COMPRA|COD FORN|COD.FORN|QTDE|QTD.CANC|PREVISAO|FORNECEDOR|CNPJ,Rastreabilidade para PDF TOTVS semelhante ao Baklizi.
5,MILLER PDF,PDF,1,80,58,MILLER,REFERENCIA|EAN|CODIGO BARRAS|CNPJ|PEDIDO|QTDE|ENTREGA|PDF,Rastreabilidade para PDF Miller. Sem conversao unidade-caixa nesta fase.
6,COOPERCICA PDF,PDF,1,75,55,COOPERCICA,TOTVS|PEDIDO DE COMPRA|COD FORN|QTDE|FD|CX|UN|CNPJ|FORNECEDOR,"Rastreabilidade para PDF TOTVS semelhante ao Coopercica, com conferencia obrigatoria."
7,DROGA CLARA PDF,PDF,1,90,60,DROGA CLARA|14169897|DROGARIA,CNPJ|FILIAL|CODIGO|DESCRICAO|FABRICANTE|PRODUTO|QTD|PEDIDO|LOJA|ENTREGA|RELATORIO DE PEDIDO DE COMPRAS,Rastreabilidade reforçada para PDF Droga Clara; assinatura forte por raiz CNPJ 14169897 e relatório de pedido de compras.
9,BARRACAO PDF,PDF,1,75,55,BARRACAO|BARRACÃO,CNPJ|PEDIDO|COD FORN|QTDE EMB|EMB|PRODUTO|LOJA|PDF,Rastreabilidade para PDF semelhante ao Barracao.
10,GALASSI PDF,PDF,1,75,55,GALASSI,CNPJ|PEDIDO|REFERENCIA|QTDE|PRODUTO|CLIENTE|FORNECEDOR|PDF,Rastreabilidade para PDF multi-clientes semelhante ao Galassi.
11,SEMPRE VALE PDF,PDF,1,82,60,SEMPRE VALE,CNPJ|PEDIDO|COD FORN|QTDE|PRODUTO|CLIENTE|DATA REMESSA|PDF,Rastreabilidade para Sempre Vale; exige data remessa manual se aplicado.
